"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-01","42","H,,S","44",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-02","38","H,,S","41",",,W","34",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-03","40","H,,S","48",",,W","35",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-04","34","H,,S","38",",,W","15",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-05","19","H,,S","29",",,W","12",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-06","29","H,,S","40",",,W","21",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-07","37","H,,S","46",",,W","27",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-08","40","H,,S","47",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-09","45","H,,S","53",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-10","52","H,,S","58",",,W","41",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-11","38","H,,S","41",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-12","33","H,,S","45",",,W","22",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-13","29","H,,S","31",",,W","24",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-14","29","H,,S","39",",,W","24",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-15","40","H,,S","51",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-16","48","H,,S","54",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-17","39","H,,S","43",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-18","29","H,,S","33",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-19","23","H,,S","31",",,W","18",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-20","32","H,,S","40",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-21","33","H,,S","39",",,W","27",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-22","27","H,,S","30",",,W","21",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-23","29","H,,S","31",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-24","27","H,,S","35",",,W","19",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-25","31","H,,S","39",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-26","39","H,,S","45",",,W","35",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-27","43","H,,S","45",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-28","35","H,,S","42",",,W","25",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-29","38","H,,S","42",",,W","31",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-30","33","H,,S","39",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-31","40","H,,S","48",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-01","48","H,,S","60",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-02","44","H,,S","52",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-03","47","H,,S","56",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-04","53","H,,S","55",",,W","43",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-05","39","H,,S","43",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-06","33","H,,S","38",",,W","23",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-07","37","H,,S","45",",,W","29",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-08","36","H,,S","39",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-09","30","H,,S","37",",,W","26",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-10","35","H,,S","40",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-11","28","H,,S","32",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-12","22","H,,S","26",",,W","17",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-13","22","H,,S","25",",,W","7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-14","8","H,,S","17",",,W","1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-15","19","H,,S","44",",,W","13",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-16","46","H,,S","54",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-17","40","H,,S","41",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-18","35","H,,S","37",",,W","27",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-19","30","H,,S","41",",,W","24",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-20","46","H,,S","59",",,W","40",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-21","49","H,,S","58",",,W","39",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-22","45","H,,S","50",",,W","35",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-23","39","H,,S","43",",,W","36",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-24","44","H,,S","58",",,W","38",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-25","50","H,,S","59",",,W","38",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-26","38","H,,S","40",",,W","29",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-27","33","H,,S","40",",,W","28",",,W"
